id,title,style_family,runtime_seconds,element_count,feature_near_count,score_near_count,datum_near_count,variable_coverage,program_fits,model_id
mozart-symphony-29,"Symphony No. 29 in A major, K. 201 (excerpt)",Classical orchestral,5.011,4948,0,0,0,1.0,True,building-v3-60c5b7411c1a
couperin-harpsichord,L'Art de toucher le clavecin (recorded excerpt),Baroque harpsichord,2.113,4426,0,0,0,1.0,True,building-v3-887e29547b49
dub-riots-silience-is-gold,Silience Is Gold,Dub / roots reggae,2.171,5290,0,0,0,1.0,True,building-v3-2cbd89d77490
deadbone-wake-up-call,Wake-up Call Intro – 24 Hours,Detroit techno,2.156,5371,0,0,0,1.0,False,building-v3-6354f3fbea80
lucas-darklord-hymne-iii,Hymne III,Black metal / noise,2.169,4608,0,0,0,1.0,False,building-v3-bfbde72cc850
jorgensen-guitar-soundscape-1,Guitar Soundscape 1,Ambient guitar / drone,2.284,5279,0,0,0,1.0,True,building-v3-3d99061e0059
krakenti-his-akorns,His Akorns,Electronic industrial,2.138,4851,0,0,0,1.0,False,building-v3-7907d157831a
affen-like-life-easily-ended,Like Life Easily Ended,Indie rock,2.132,4228,0,0,0,1.0,True,building-v3-6673b85caa7f
nienvox-visions,Visions,Trip-hop / breakbeats / jazz,2.163,5277,0,0,0,1.0,True,building-v3-0cdcb2d42f1d
charrier-accorte,Accorte,Acousmatic / electroacoustic improvisation,2.168,5624,0,0,0,1.0,True,building-v3-f74b049c0fd3
m-pex-bueid,Bueid,Portuguese guitar / electronic world music,2.123,4029,0,0,0,1.0,False,building-v3-250121350724
kevin-bryce-rainfields,Rainfields,Electropop / IDM / ambient,2.113,4630,0,0,0,1.0,False,building-v3-ac899390a0d4
walcker-crew-blind-istanbul,Blind Istanbul,Alternative hip-hop / jazz-funk / dub,2.133,4772,0,0,0,1.0,True,building-v3-e1128f5ea97d
hurle-cancer,Cancer,Hardcore punk / thrash / crust,2.188,4865,0,0,0,1.0,False,building-v3-483cf79c50ca
